technique_id,family,technique,roster,priority,target_stage,availability,source_ids,required_variables,missing_variables,claimed_benefit,local_formulation,matched_control,falsification,deployment_impact,deployment_note
W52R-T01,model_discrepancy,Bounded PF-A analytical-discrepancy residual,active_real_data,high,3,train_derived,SRC-01|SRC-02|SRC-03|SRC-04,theta|speed_setpoint|torque_setpoint|temperature_setpoint|pf_a_prediction_train|measured_te_train,,Preserve the strong Polynomial-Fourier anchor while learning only its systematic misspecification.,"y_hat = PF_A(theta,z) + b(z) * tanh(r_theta(theta,z) / b(z)), with b fitted from training residual envelopes only.",Parameter-matched data-only residual network with identical inputs and budget but no PF-A addition.,"Reject if three-seed curve-first gain over both PF-A and the matched control is absent, or if anchor corruption causes unbounded residual takeover.",medium,Requires inspectable PF-A coefficient evaluation plus one bounded residual network.
W52R-T02,harmonic_supervision,Complex harmonic-coefficient residual,active_real_data,high,5,train_derived,SRC-01|SRC-11|SRC-12,theta|speed_setpoint|torque_setpoint|temperature_setpoint|harmonic_coefficients_train,,Penalize amplitude and phase jointly without phase-wrap discontinuities.,Predict delta complex coefficients relative to PF-A and minimize weighted squared distance in real-imaginary coefficient space before inverse Fourier reconstruction.,Same coefficient head trained with pointwise TE loss only.,Reject if held-out harmonic amplitude and circular phase do not improve without worsening raw or centered-shape error beyond the predeclared tolerance.,low,Fixed-order real-imaginary coefficients and deterministic Fourier reconstruction are PLC-friendly.
W52R-T03,structured_output,Mean and centered-shape multi-head construction,active_real_data,high,7,train_derived,SRC-01|SRC-02,theta|speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train,,Separate the difficult operating-condition offset surface from the periodic centered curve shape.,"y_hat(theta,z) = mu_hat(z) + s_hat(theta,z) - mean_theta(s_hat), enforcing exact zero mean on the shape head.",Parameter-matched single-head predictor with the same features and losses.,Reject if absolute offset error or centered-shape metrics fail to improve jointly over the single-head control.,low,Adds one scalar mean head and one deterministic centering operation.
W52R-T04,spectral_architecture,Fourier-feature coordinate residual,active_real_data,high,4,train_derived,SRC-11|SRC-12,theta|speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train,,Reduce low-frequency learning bias for known angular harmonics.,"Encode theta with a frozen, predeclared bank of sin(k*theta) and cos(k*theta) terms; feed these and z to a bounded residual MLP.",Same-width raw-angle MLP and parameter-matched learned-frequency feature control.,Reject if high-order held-out harmonic fidelity does not improve or if unsupported high-frequency energy increases.,low,Uses a fixed finite trigonometric bank that can be exported or evaluated explicitly.
W52R-T05,spectral_architecture,SIREN coordinate residual,active_real_data,medium,4,train_derived,SRC-13,theta|speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train,,Represent smooth periodic detail and stable angular derivatives with periodic activations.,"Use the prescribed SIREN initialization for an angular residual network, with bounded output and explicit periodic-closure testing.",Parameter-matched tanh residual MLP using the same inputs and training budget.,Reject if derivative and harmonic metrics do not improve across seeds or if ONNX and PLC feasibility is materially worse.,medium,Sinusoidal activations require explicit ONNX and Beckhoff operator validation.
W52R-T06,spectral_architecture,Wavelet-activation coordinate network,conditional_real_data,low,6,train_derived,SRC-23,theta|speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train|residual_metrics_train,,Offer localized multiscale basis functions when errors are angularly localized.,Activate only after Stage 2 diagnostics show localized multiscale residuals not captured by the harmonic bank.,Parameter-matched Fourier-feature and SIREN residual networks.,Reject if localization diagnostics are absent or if the wavelet network fails to beat the simpler spectral controls.,high,Custom activations and multiscale branches increase export and PLC complexity.
W52R-T07,spectral_objective,Complex spectral supervision,active_real_data,high,6,train_derived,SRC-01|SRC-11,theta|speed_setpoint|torque_setpoint|temperature_setpoint|harmonic_coefficients_train,,Directly optimize the harmonic content that curve-first diagnostics identify as compensation-relevant.,Add a training-only DFT loss over predeclared harmonic bands with normalized complex coefficients and no test-fitted weights.,Identical architecture trained with pointwise and centered-shape losses only.,Reject if aggregate held-out harmonic amplitude and phase do not improve without material raw-error regression.,none,The loss is training-only and adds no inference operators.
W52R-T08,derivative_guidance,Angular Sobolev supervision,active_real_data,high,6,train_derived,SRC-14,theta|speed_setpoint|torque_setpoint|temperature_setpoint|angular_derivatives_train,,Match curve slope and curvature so pointwise fit does not hide distorted local shape.,"Penalize first angular derivative mismatch, and test second derivative only behind smoothing and noise-stability gates fitted on training curves.",Identical architecture and parameter count without derivative loss.,"Reject if derivative metrics or centered shape fail to improve, or if the result is sensitive to derivative estimator and smoothing choice.",none,Automatic differentiation and target derivatives are used only during training.
W52R-T09,weak_form,Local Fourier-moment weak residual,active_real_data,medium,13,train_derived,SRC-05|SRC-01,theta|speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train|pf_a_prediction_train,,Compare integrated residual structure instead of enforcing a noisy or misspecified relation point by point.,"Minimize squared residual moments against fixed sine, cosine, and compact angular test functions over each complete training curve.",Same model with pointwise PF-A residual loss and no integrated moments.,"Reject if weak moments shrink without improving full-curve held-out metrics, or if gains disappear under alternative fixed test-function sets.",none,Test functions and quadrature are training-only.
W52R-T10,weak_mechanical_prior,Forward quasi-static compliance sign and bound prior,conditional_real_data,medium,8,train_derived,SRC-04|SRC-29,speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train,,Constrain implausible torque response without claiming a complete contact law.,Apply a soft sign or interval penalty only to a training-estimated mean-response derivative where the sign is stable under bootstrap.,Same architecture with no compliance penalty and a shuffled-torque penalty control.,Reject unless sign stability is supported on training resamples and held-out offset and raw error improve across seeds.,none,The weak prior affects training only; no contact-state computation is added at runtime.
