formulation_id,stage,formulation_name,isolated_gate_passed,three_seed_evaluation_completed,matched_control_beaten,leakage_and_causality_passed,complete_full_curve_payload_available,inference_path_inspectable,eligible,exclusion_reason,primary_evidence_path
S4_PRIMARY,Stage 4,PF-A residual capacity hybrids,False,False,False,True,True,True,False,No primary hybrid passed the matched-control and cancellation gates.,doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-28-11-26-08_wave52r_stage4_data_only_residual_capacity_ladder_results_report.md
H04,Stage 5,bounded PF-A core-coefficient correction,True,True,True,True,True,True,True,,doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-28-16-20-55_wave52r_stage5_complex_harmonic_coefficient_residuals_results_report.md
H08,Stage 5,broader data-selected harmonic correction,False,False,True,True,True,True,False,Raw gain regressed closure and retained amplitude and phase gates.,doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-28-16-20-55_wave52r_stage5_complex_harmonic_coefficient_residuals_results_report.md
S6_PRIMARY,Stage 6,"spectral, Sobolev, coordinate, and weak residuals",False,False,False,True,True,True,False,"No candidate passed derivative, harmonic, tail, and matched-control gates.",doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-15-35-41_wave52r_stage6_spectral_sobolev_guidance_results_report.md
S7_PRIMARY,Stage 7,mean and centered-shape multi-head models,False,False,False,True,True,True,False,No predictive candidate passed the isolated multi-head gates.,doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-17-47-24_wave52r_stage7_mean_centered_shape_multi_head_results_report.md
S8_PRIMARY,Stage 8,weak forward compliance priors,False,False,False,True,True,True,False,No weak prior beat data-only while preserving model-local derivatives.,doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-18-22-31_wave52r_stage8_weak_forward_compliance_priors_results_report.md
K01,Stage 9,causal coefficient-residual GRU,False,False,True,True,True,True,False,"Complete closure, P95, and chunk-equivalence gate failed; stability skipped.",doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-19-52-39_wave52r_stage9_temporal_analytical_residual_models_results_report.md
S10_PRIMARY,Stage 10,sparse and symbolic condition laws,False,False,False,True,True,True,False,"No compact law passed shape, complexity, and sign-stability gates.",doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-20-23-30_wave52r_stage10_sparse_and_symbolic_formulation_discovery_results_report.md
S11_PRIMARY,Stage 11,uncertainty and physics-trust calibration,False,False,False,True,True,True,False,"No trust component passed localization, selective-risk, and cost gates.",doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-21-21-32_wave52r_stage11_uncertainty_and_physics_trust_calibration_results_report.md
S12_PRIMARY,Stage 12,advanced constraint optimization,False,False,False,True,True,True,False,No optimizer beat frozen K01 while preserving the complete gate.,doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-23-10-48_wave52r_stage12_advanced_constraint_optimization_results_report.md
W01_ORACLE,Stage 13,weak-form harmonic residual,False,False,False,True,False,True,False,Synthetic certification cannot substitute for a real-data isolated gate.,doc/reports/campaign_results/model_development_waves/wave_5_2/2026-07-29-23-34-07_wave52r_stage13_synthetic_weak_form_oracle_lane_results_report.md
